IP:PORT, LOSS, DELAY
162.159.192.15:859,0.00%,138 ms
162.159.192.116:859,0.00%,141 ms
162.159.192.176:859,0.00%,148 ms
162.159.195.94:859,0.00%,152 ms
162.159.192.156:859,10.00%,233 ms
162.159.192.199:859,10.00%,281 ms
188.114.96.176:859,20.00%,365 ms
162.159.195.98:859,20.00%,385 ms
188.114.99.187:859,30.00%,433 ms
188.114.96.149:500,30.00%,434 ms
162.159.192.47:859,30.00%,444 ms
162.159.192.226:859,30.00%,448 ms
188.114.96.127:500,30.00%,460 ms
162.159.192.133:859,30.00%,461 ms
162.159.192.160:859,30.00%,478 ms
162.159.192.99:859,40.00%,491 ms
162.159.192.43:859,40.00%,537 ms
188.114.96.127:859,40.00%,543 ms
162.159.192.185:859,50.00%,583 ms
188.114.96.136:859,50.00%,591 ms
188.114.98.168:500,50.00%,607 ms
162.159.192.100:859,50.00%,613 ms
188.114.98.165:500,60.00%,653 ms
188.114.96.75:859,60.00%,655 ms
188.114.98.223:859,60.00%,657 ms
188.114.96.4:500,60.00%,679 ms
188.114.98.98:500,60.00%,686 ms
188.114.98.152:500,60.00%,687 ms
188.114.98.147:500,60.00%,688 ms
188.114.96.214:500,60.00%,688 ms
188.114.97.214:859,60.00%,693 ms
188.114.96.162:500,60.00%,698 ms
162.159.192.75:859,60.00%,699 ms
188.114.96.4:859,60.00%,700 ms
188.114.96.222:859,70.00%,739 ms
188.114.98.58:859,70.00%,741 ms
188.114.99.187:500,70.00%,741 ms
188.114.96.176:500,70.00%,743 ms
188.114.96.56:859,70.00%,744 ms
188.114.98.143:859,70.00%,744 ms
188.114.96.34:859,70.00%,745 ms
188.114.96.169:859,70.00%,745 ms
162.159.192.59:859,70.00%,747 ms
188.114.97.128:500,70.00%,750 ms
188.114.98.168:859,70.00%,751 ms
188.114.96.240:500,70.00%,752 ms
188.114.98.165:859,70.00%,753 ms
188.114.99.146:500,70.00%,757 ms
188.114.99.201:500,70.00%,766 ms
162.159.195.109:859,70.00%,767 ms
188.114.99.235:859,70.00%,767 ms
188.114.98.184:859,70.00%,767 ms
188.114.96.56:500,70.00%,768 ms
188.114.99.213:859,70.00%,768 ms
188.114.98.184:500,70.00%,768 ms
188.114.96.149:859,70.00%,768 ms
188.114.96.136:500,70.00%,770 ms
162.159.195.241:859,70.00%,770 ms
188.114.97.15:500,70.00%,770 ms
188.114.97.243:500,70.00%,771 ms
188.114.99.201:859,70.00%,771 ms
188.114.99.111:500,70.00%,772 ms
188.114.96.222:500,70.00%,772 ms
188.114.99.146:859,70.00%,776 ms
188.114.98.143:500,80.00%,828 ms
188.114.99.193:500,80.00%,828 ms
188.114.99.193:859,80.00%,829 ms
188.114.96.34:500,80.00%,829 ms
162.159.195.209:859,80.00%,829 ms
188.114.98.201:859,80.00%,829 ms
188.114.96.240:859,80.00%,829 ms
188.114.98.223:500,80.00%,829 ms
188.114.98.98:859,80.00%,830 ms
188.114.97.214:500,80.00%,830 ms
188.114.99.104:500,80.00%,831 ms
188.114.96.214:859,80.00%,831 ms
188.114.98.58:500,80.00%,831 ms
188.114.97.179:859,80.00%,831 ms
188.114.99.71:500,80.00%,831 ms
188.114.97.81:859,80.00%,832 ms
188.114.98.107:859,80.00%,833 ms
188.114.97.236:500,80.00%,833 ms
188.114.99.71:859,80.00%,833 ms
188.114.99.233:859,80.00%,833 ms
188.114.97.31:859,80.00%,833 ms
188.114.99.217:500,80.00%,833 ms
162.159.195.4:859,80.00%,836 ms
188.114.96.169:500,80.00%,838 ms
188.114.97.179:500,80.00%,841 ms
188.114.99.26:859,80.00%,843 ms
188.114.97.26:859,80.00%,846 ms
162.159.195.108:859,80.00%,846 ms
162.159.195.71:859,80.00%,847 ms
188.114.99.111:859,80.00%,848 ms
188.114.97.243:859,80.00%,848 ms
188.114.97.107:500,80.00%,849 ms
188.114.97.78:500,80.00%,851 ms
162.159.192.248:859,80.00%,851 ms
188.114.97.131:859,80.00%,853 ms
188.114.97.128:859,80.00%,854 ms
188.114.96.75:500,90.00%,914 ms
188.114.98.147:859,90.00%,917 ms
188.114.97.15:859,90.00%,918 ms
188.114.99.104:859,90.00%,918 ms
188.114.97.236:859,90.00%,918 ms
188.114.96.162:859,90.00%,919 ms
162.159.195.228:859,90.00%,919 ms
188.114.97.245:859,90.00%,919 ms
188.114.97.245:500,90.00%,923 ms
188.114.97.224:859,90.00%,927 ms
188.114.99.235:500,90.00%,927 ms
188.114.99.26:500,90.00%,927 ms
188.114.98.201:500,90.00%,928 ms
188.114.97.131:500,90.00%,928 ms
188.114.97.78:859,90.00%,929 ms
162.159.192.226:500,100.00%,1000 ms
162.159.193.129:500,100.00%,1000 ms
162.159.193.187:859,100.00%,1000 ms
162.159.193.129:859,100.00%,1000 ms
162.159.193.48:859,100.00%,1000 ms
162.159.193.108:859,100.00%,1000 ms
162.159.193.19:859,100.00%,1000 ms
